Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date
Ballina,LGA,10250,New South Wales,North Coast Floods: from 28 March 2017,755,0,0,0,0,unknown,0,0,Flood,2017-03-28
Ballina,LGA,10250,New South Wales,Eastern NSW Storms: 5 and 6 November 2017,784,1,1,0,0,A/B,0,0,Storm,2017-11-05
Ballina,LGA,10250,New South Wales,NSW Storms and Floods: 20 December 2018,834,1,1,0,0,A/B,0,0,"Flood, Storm",2018-12-20
Ballina,LGA,10250,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,0,1,Bushfire,2019-08-31
Ballina,LGA,10250,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Ballina,LGA,10250,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10
Ballina,LGA,10250,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Ballina,LGA,10250,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Ballina,LGA,10250,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),1198,1,1,1,1,C/D,1,1,Cyclone,2025-03-06
Balranald,LGA,10300,New South Wales,New South Wales-floods: 29 November to 28 February 2011,421,0,0,0,0,unknown,0,0,Flood,2010-11-29
Balranald,LGA,10300,New South Wales,New South Wales floods: February 2011,430,0,0,0,0,unknown,0,0,Flood,2011-02-04
Balranald,LGA,10300,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Balranald,LGA,10300,New South Wales,NSW Inland Storms and Floods (from 30 August 2016),731,0,0,0,0,unknown,0,0,"Flood, Rainfall, Storm",2016-08-30
Balranald,LGA,10300,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,0,Flood,2021-11-09
Balranald,LGA,10300,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14
Bathurst,LGA,10470,New South Wales,New South Wales-floods: 29 November to 28 February 2011,421,0,0,0,0,unknown,0,0,Flood,2010-11-29
Bathurst,LGA,10470,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Bathurst,LGA,10470,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,0,0,Bushfire,2013-01-01
Bathurst,LGA,10470,New South Wales,Central Ranges bushfires: from 19 January 2014,612,0,0,0,0,unknown,0,0,Bushfire,2014-01-19
Bathurst,LGA,10470,New South Wales,Inland NSW Storms and Floods: 20 July 2016,726,0,0,0,0,unknown,0,0,"Flood, Storm",2016-07-20
Bathurst,LGA,10470,New South Wales,NSW Inland Storms and Floods (from 30 August 2016),731,0,0,0,0,unknown,0,0,"Flood, Rainfall, Storm",2016-08-30
Bathurst,LGA,10470,New South Wales,Bathurst Bushfire: from 14 January 2017,749,0,0,0,0,unknown,0,0,Bushfire,2017-01-14
Bathurst,LGA,10470,New South Wales,NSW Central West Bushfires: 9 February 2018 onwards,804,1,1,0,0,A/B,0,0,Bushfire,2018-02-09
Bathurst,LGA,10470,New South Wales,Inland New South Wales Storms and Floods: 11 January 2019 onwards,845,1,1,0,0,A/B,0,0,"Flood, Storm",2019-01-11
Bathurst,LGA,10470,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Bathurst,LGA,10470,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Bathurst,LGA,10470,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09
Bathurst,LGA,10470,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14
Bathurst,LGA,10470,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,0,0,Bushfire,2023-03-06
Bathurst,LGA,10470,New South Wales,AGRN 1193 - Bathurst and Lithgow NSW Bushfire (23 December 2024 - 11 January 2025),1193,0,1,0,0,A/B,0,0,Bushfire,2024-12-23
Bayside (NSW),LGA,10500,New South Wales,Eastern NSW severe thunderstorms: 13 October 2014,651,0,0,0,0,unknown,0,0,Thunderstorm,2014-10-13
Bayside (NSW),LGA,10500,New South Wales,East Coast Storms and Floods: 14 to 15 January 2016,699,0,0,0,0,unknown,0,0,"Flood, Storm, Weather event",2016-01-14
Bayside (NSW),LGA,10500,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Bayside (NSW),LGA,10500,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Bayside (NSW),LGA,10500,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,1,1,Flood,2022-06-27
Bega Valley,LGA,10550,New South Wales,New South Wales severe storm: March 2011,446,0,0,0,0,unknown,0,0,Storm,2011-03-21
Bega Valley,LGA,10550,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Bega Valley,LGA,10550,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,0,0,Bushfire,2013-01-01
Bega Valley,LGA,10550,New South Wales,Storm and flood: 8 December 2014,650,0,0,0,0,unknown,0,0,"Storm, Flood",2014-12-08
Bega Valley,LGA,10550,New South Wales,East Coast floods: 3 January 2016,692,0,0,0,0,unknown,0,0,Flood,2016-01-03
Bega Valley,LGA,10550,New South Wales,Thunderstorms: 29 January 2016,711,0,0,0,0,unknown,0,0,"Flood, Storm, Thunderstorm",2016-01-29
Bega Valley,LGA,10550,New South Wales,East Coast Storms and Floods: 1 June 2016,718,0,0,0,0,unknown,0,0,"Flood, Storm, Storm surge",2016-06-01
Bega Valley,LGA,10550,New South Wales,Bega Bushfire: 18 March 2018 onward,798,1,1,0,0,A/B,0,0,Bushfire,2018-03-18
Bega Valley,LGA,10550,New South Wales,Bega Valley and Eurobodalla bushfires: 15 August 2018 onwards,820,1,1,0,0,A/B,0,0,Bushfire,2018-08-15
Bega Valley,LGA,10550,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,1,1,Bushfire,2019-08-31
Bega Valley,LGA,10550,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Bega Valley,LGA,10550,New South Wales,AGRN 922 - NSW Storms and Floods (25 July 2020 onwards),922,1,1,0,0,A/B,0,0,Flood,2020-07-25
Bega Valley,LGA,10550,New South Wales,AGRN 923 - NSW Storms and Floods (5 August 2020 onwards),923,1,1,0,0,A/B,0,0,Flood,2020-08-05
Bega Valley,LGA,10550,New South Wales,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),936,1,1,0,0,A/B,0,0,Storm,2020-10-20
Bega Valley,LGA,10550,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Bega Valley,LGA,10550,New South Wales,AGRN 970 - Southern NSW Storms and Floods (5 May 2021 onwards),970,1,1,0,0,A/B,0,0,Storm,2021-05-05
Bega Valley,LGA,10550,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09
Bega Valley,LGA,10550,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Bega Valley,LGA,10550,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Bega Valley,LGA,10550,New South Wales,AGRN 1070 - Bega Valley NSW Bushfires (3 October 2023 onwards),1070,1,1,0,0,A/B,0,0,Bushfire,2023-10-03
Bega Valley,LGA,10550,New South Wales,AGRN 1086 NSW Severe Weather and Flooding (28 November 2023 onwards),1086,1,1,0,0,A/B,0,0,Flood,2023-11-28
Bega Valley,LGA,10550,New South Wales,AGRN 1100 - NSW Storms and Floods (25 December 2023 onwards),1100,0,1,0,0,A/B,0,0,Flood,2023-12-25
Bega Valley,LGA,10550,New South Wales,AGRN 1200 - NSW Bega Valley and Snowy Monaro Storms (From 8 February 2025),1200,1,1,0,0,A/B,0,0,Storm,2025-02-08
Bega Valley,LGA,10550,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,0,1,C/D,0,0,Storm,2025-05-18
Bega Valley,LGA,10550,New South Wales,AGRN 1217 - NSW South Coast Severe Weather (from 30 June 2025),1217,0,1,0,0,A/B,0,0,Storm,2025-06-30
Bega Valley,LGA,10550,New South Wales,AGRN 1260 - NSW Severe Weather Event (from 14 January 2026),1260,1,1,0,0,A/B,0,0,Storm,2026-01-14
Bega Valley,LGA,10550,New South Wales,AGRN 1263 - Eurobodalla and Bega Valley NSW Bushfire (from 7 January 2026),1263,0,1,0,0,A/B,0,0,Bushfire,2026-01-07
Bellingen,LGA,10600,New South Wales,New South Wales floods: March 2009,337,0,0,0,0,unknown,0,0,Flood,2009-03-30
Bellingen,LGA,10600,New South Wales,Mid North Coast flooding: November 2009,355,0,0,0,0,unknown,0,0,Flood,2009-11-06
Bellingen,LGA,10600,New South Wales,New South Wales-Northern Rivers floods: 1 to 15 October 2010,424,0,0,0,0,unknown,0,0,Flood,2010-10-01
Bellingen,LGA,10600,New South Wales,New South Wales-floods: 26 December 2010 to January 2011,425,0,0,0,0,unknown,0,0,Flood,2010-12-26
Bellingen,LGA,10600,New South Wales,New South Wales-Mid North Coast floods: 12 to 15 June 2011,451,0,0,0,0,unknown,0,0,Flood,2011-06-12
Bellingen,LGA,10600,New South Wales,New South Wales-Northern New South Wales heavy rainfall and flooding: 27 January 2012,471,0,0,0,0,unknown,0,0,"Flood, Rainfall",2012-01-27
Bellingen,LGA,10600,New South Wales,North Coast storms and floods: 26 January 2013,545,0,0,0,0,unknown,0,0,"Flood, Storm",2013-01-26
Bellingen,LGA,10600,New South Wales,East coast severe weather and floods: 19 February 2013,549,0,0,0,0,unknown,0,0,"Flood, Weather event",2013-02-19
Bellingen,LGA,10600,New South Wales,North Coast floods: 30 April 2015,669,0,0,0,0,unknown,0,0,Flood,2015-04-30
Bellingen,LGA,10600,New South Wales,East Coast Storms and Floods: 1 June 2016,718,0,0,0,0,unknown,0,0,"Flood, Storm, Storm surge",2016-06-01
Bellingen,LGA,10600,New South Wales,East Coast Storms and Floods: from 12 March 2017,758,0,0,0,0,unknown,0,0,"Flood, Storm",2017-03-12
Bellingen,LGA,10600,New South Wales,NSW Storms and Floods: 20 December 2018,834,1,1,0,0,A/B,0,0,"Flood, Storm",2018-12-20
