id,title,category,year,decade,start_date,end_date,lat,lon,regions,deaths,injuries,evacuated,homeless,insured_cost,homes_destroyed,buildings_destroyed,impact_score,url
66,Flood - Western Sydney,Flood,1974,1970,4/24/1974 0:00,4/24/1974 0:00,-33.75153351,150.6912231,New South Wales,1.0,0.0,0.0,0.0,20000000.0,0.0,0.0,10.0,http://www.emknowledge.gov.au/resource/?id=66
67,Flood - Widespread Coastal,Flood,1929,1920,2/20/1929 0:00,2/28/1929 0:00,-23.37712288,150.5100708,Queensland,3.0,0.0,100.0,0.0,0.0,0.0,0.0,35.0,http://www.emknowledge.gov.au/resource/?id=67
68,Bushfire - Southern Victoria and Dandenong Ranges,Bushfire,1962,1960,1/14/1962 0:00,2/16/1962 0:00,-37.85620117,145.3159332,Victoria,8.0,0.0,0.0,2500.0,0.0,454.0,0.0,1488.0,http://www.emknowledge.gov.au/resource/?id=68
69,Severe Storm - Ballarat,Severe Storm,1989,1980,11/16/1989 0:00,11/16/1989 0:00,-37.56158829,143.8562317,Victoria,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=69
70,"Flood - Sydney, Newcastle and Wollongong",Flood,1978,1970,2/10/1978 0:00,2/10/1978 0:00,-33.59460449,150.7513123,New South Wales,6.0,0.0,0.0,0.0,15000000.0,0.0,0.0,60.0,http://www.emknowledge.gov.au/resource/?id=70
74,Flood - Southern Queensland and Northern New South Wales,Flood,1996,1990,5/1/1996 0:00,5/9/1996 0:00,-27.37176704,150.4907227,New South Wales;Queensland,5.0,20.0,0.0,0.0,31000000.0,0.0,0.0,90.0,http://www.emknowledge.gov.au/resource/?id=74
87,Bushfire - New South Wales and Other States,Bushfire,1974,1970,12/1/1974 0:00,2/1/1975 0:00,-31.49797058,145.8381958,New South Wales,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,http://www.emknowledge.gov.au/resource/?id=87
88,Severe Storm - Sydney and Region 2001,Severe Storm,2001,2000,1/15/2001 0:00,1/15/2001 0:00,-33.84646606,151.2307587,New South Wales,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=88
91,Flood - Boonah,Flood,1991,1990,2/7/1991 0:00,2/11/1991 0:00,-27.99690247,152.6821594,Queensland,3.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,http://www.emknowledge.gov.au/resource/?id=91
93,Hail - Brisbane and South East Queensland,Hail,1995,1990,11/3/1995 0:00,11/6/1995 0:00,-27.47093391,153.0234985,Queensland,1.0,0.0,0.0,0.0,40000000.0,0.0,0.0,10.0,http://www.emknowledge.gov.au/resource/?id=93
