pair,category,hazard_group,raw_hazard_group,activations,step,x,y
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,6,-0.5491,-0.1847
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,7,-0.4886,-0.1262
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,8,-0.4263,-0.0665
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,9,-0.3623,-0.0059
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,10,-0.297,0.0554
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,11,-0.2307,0.1171
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,12,-0.1638,0.1787
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,13,-0.0965,0.2401
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,14,-0.0293,0.3007
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,15,0.0375,0.3604
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,16,0.1034,0.4189
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,17,0.1683,0.4758
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,18,0.2318,0.5309
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,19,0.2937,0.5841
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,20,0.3537,0.6353
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,21,0.4117,0.6843
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,22,0.4677,0.7312
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,23,0.5216,0.7762
C/D|Cyclone / Tropical Low,C/D,Cyclone,Cyclone / Tropical Low,85,24,0.5736,0.8192
C/D|Other,C/D,Other,Other,9,0,-0.866,-0.5
C/D|Other,C/D,Other,Other,9,1,-0.8429,-0.4444
C/D|Other,C/D,Other,Other,9,2,-0.8185,-0.3866
C/D|Other,C/D,Other,Other,9,3,-0.7926,-0.3269
C/D|Other,C/D,Other,Other,9,4,-0.765,-0.265
C/D|Other,C/D,Other,Other,9,5,-0.7357,-0.2012
C/D|Other,C/D,Other,Other,9,6,-0.7046,-0.1356
C/D|Other,C/D,Other,Other,9,7,-0.6718,-0.0685
C/D|Other,C/D,Other,Other,9,8,-0.6374,-0.0
C/D|Other,C/D,Other,Other,9,9,-0.6013,0.0694
C/D|Other,C/D,Other,Other,9,10,-0.5637,0.1395
C/D|Other,C/D,Other,Other,9,11,-0.5249,0.2098
C/D|Other,C/D,Other,Other,9,12,-0.485,0.28
C/D|Other,C/D,Other,Other,9,13,-0.4442,0.3497
C/D|Other,C/D,Other,Other,9,14,-0.4027,0.4185
C/D|Other,C/D,Other,Other,9,15,-0.3608,0.486
C/D|Other,C/D,Other,Other,9,16,-0.3187,0.552
C/D|Other,C/D,Other,Other,9,17,-0.2766,0.6161
C/D|Other,C/D,Other,Other,9,18,-0.2349,0.678
C/D|Other,C/D,Other,Other,9,19,-0.1936,0.7377
C/D|Other,C/D,Other,Other,9,20,-0.153,0.795
C/D|Other,C/D,Other,Other,9,21,-0.1132,0.8498
C/D|Other,C/D,Other,Other,9,22,-0.0744,0.9022
C/D|Other,C/D,Other,Other,9,23,-0.0366,0.9522
C/D|Other,C/D,Other,Other,9,24,0.0,1.0
